"cause_name","freq","severity"
"Amtrak train traffic","9","3.6666666666666665"
"NA","49156","4.456017576694605"
"crossing issue","5","4"
"fire department activity","1","7"
"freight train interference","2","3.5"
"heavy ridership","1","3"
"maintenance","1","5"
"mechanical issue","31","6.161290322580645"
"medical emergency","2","5"
"police activity","21","7.095238095238095"
"signal issue","17","5.294117647058823"
"switch issue","9","5.888888888888889"
"tie replacement","2","4.5"
"track work","11","4.363636363636363"
"train traffic","22","4.681818181818182"
