"route","stop_name","average_min_delay"
"CR-Fairmount","Blue Hill Avenue","23.283333333333335"
"CR-Fairmount","Fairmount","12.470833333333331"
"CR-Fairmount","Four Corners/Geneva","2.591666666666667"
"CR-Fairmount","Morton Street","1.7791666666666666"
"CR-Fairmount","Newmarket","12.508333333333331"
"CR-Fairmount","Readville","22.875"
"CR-Fairmount","South Station","24.925"
"CR-Fairmount","Talbot Avenue","12.979166666666666"
"CR-Fairmount","Uphams Corner","1.9333333333333336"
"CR-Fitchburg","Ayer","3.8555555555555556"
"CR-Fitchburg","Belmont","3.28"
"CR-Fitchburg","Brandeis/Roberts","5.788888888888889"
"CR-Fitchburg","Concord","3.6791666666666663"
"CR-Fitchburg","Fitchburg","3.65"
"CR-Fitchburg","Kendal Green","3.5083333333333333"
"CR-Fitchburg","Lincoln","3.9291666666666663"
"CR-Fitchburg","Littleton/Route 495","4.977777777777778"
"CR-Fitchburg","North Leominster","3.8"
"CR-Fitchburg","North Station","9.033333333333333"
"CR-Fitchburg","Porter","2.6466666666666665"
"CR-Fitchburg","Shirley","3.2249999999999996"
"CR-Fitchburg","South Acton","3.7166666666666663"
"CR-Fitchburg","Waltham","3.3566666666666665"
"CR-Fitchburg","Waverley","2.6277777777777778"
"CR-Fitchburg","West Concord","3.958333333333333"
"CR-Franklin","Back Bay","4.691666666666666"
"CR-Franklin","Dedham Corporate Center","2.9466666666666663"
"CR-Franklin","Endicott","2.761111111111111"
"CR-Franklin","Foxboro","2.2666666666666666"
"CR-Franklin","Franklin","1.4666666666666666"
"CR-Franklin","Islington","1.7933333333333334"
"CR-Franklin","Norfolk","1.1"
"CR-Franklin","Norwood Central","2.695833333333333"
"CR-Franklin","Norwood Depot","1.8933333333333333"
"CR-Franklin","Readville","4.4"
"CR-Franklin","Ruggles","3.0083333333333333"
"CR-Franklin","South Station","2.8333333333333335"
"CR-Franklin","Walpole","2.7"
"CR-Franklin","Windsor Gardens","3.5611111111111113"
"CR-Greenbush","Cohasset","2.6944444444444446"
"CR-Greenbush","East Weymouth","4.45"
"CR-Greenbush","JFK/UMass","2.25"
"CR-Greenbush","Nantasket Junction","2.755555555555556"
"CR-Greenbush","North Scituate","2.4944444444444445"
"CR-Greenbush","Quincy Center","3.6055555555555556"
"CR-Greenbush","South Station","0.41666666666666663"
"CR-Greenbush","West Hingham","2.0444444444444443"
"CR-Greenbush","Weymouth Landing/East Braintree","3.616666666666667"
"CR-Haverhill","Andover","5.75"
"CR-Haverhill","Ballardvale","3.011111111111111"
"CR-Haverhill","Bradford","1.261111111111111"
"CR-Haverhill","Greenwood","19.326666666666664"
"CR-Haverhill","Lawrence","4.938888888888889"
"CR-Haverhill","Malden Center","32.656666666666666"
"CR-Haverhill","Melrose Highlands","28.056666666666665"
"CR-Haverhill","Melrose/Cedar Park","10.353333333333333"
