"route","stop_name","average_min_delay","average_boarding_rate"
"CR-Fairmount","Blue Hill Avenue","23.283333333333335","N/A"
"CR-Fairmount","Fairmount","12.470833333333331","10.555555555555555"
"CR-Fairmount","Four Corners/Geneva","2.591666666666667","N/A"
"CR-Fairmount","Morton Street","1.7791666666666666","5.15625"
"CR-Fairmount","Newmarket","12.508333333333331","1.9230769230769231"
"CR-Fairmount","Readville","22.875","11.689655172413794"
"CR-Fairmount","South Station","24.925","41.27272727272727"
"CR-Fairmount","Talbot Avenue","12.979166666666666","5.325"
"CR-Fairmount","Uphams Corner","1.9333333333333336","3.2580645161290325"
"CR-Fitchburg","Ayer","3.8555555555555556","9.333333333333334"
"CR-Fitchburg","Belmont","3.28","4.47457627118644"
"CR-Fitchburg","Brandeis/Roberts","5.788888888888889","13.142857142857142"
"CR-Fitchburg","Concord","3.6791666666666663","11.469696969696969"
"CR-Fitchburg","Fitchburg","3.65","13.045454545454545"
"CR-Fitchburg","Kendal Green","3.5083333333333333","3.5737704918032787"
"CR-Fitchburg","Lincoln","3.9291666666666663","7.276923076923077"
"CR-Fitchburg","Littleton/Route 495","4.977777777777778","11.35483870967742"
"CR-Fitchburg","North Leominster","3.8","7.533333333333333"
"CR-Fitchburg","North Station","9.033333333333333","145.13888888888889"
"CR-Fitchburg","Porter","2.6466666666666665","42.833333333333336"
"CR-Fitchburg","Shirley","3.2249999999999996","5.366666666666666"
"CR-Fitchburg","South Acton","3.7166666666666663","25.074626865671643"
"CR-Fitchburg","Waltham","3.3566666666666665","14.462686567164178"
"CR-Fitchburg","Waverley","2.6277777777777778","4.8"
"CR-Fitchburg","West Concord","3.958333333333333","10.846153846153847"
"CR-Franklin","Back Bay","4.691666666666666","48.5735294117647"
"CR-Franklin","Dedham Corporate Center","2.9466666666666663","N/A"
"CR-Franklin","Endicott","2.761111111111111","8.327868852459016"
"CR-Franklin","Foxboro","2.2666666666666666","N/A"
"CR-Franklin","Franklin","1.4666666666666666","18.396825396825395"
"CR-Franklin","Islington","1.7933333333333334","3.8524590163934427"
"CR-Franklin","Norfolk","1.1","24.491803278688526"
"CR-Franklin","Norwood Central","2.695833333333333","27.51388888888889"
"CR-Franklin","Norwood Depot","1.8933333333333333","9.46031746031746"
"CR-Franklin","Readville","4.4","7.907407407407407"
"CR-Franklin","Ruggles","3.0083333333333333","26.454545454545453"
"CR-Franklin","South Station","2.8333333333333335","177.83333333333334"
"CR-Franklin","Walpole","2.7","20.954545454545453"
"CR-Franklin","Windsor Gardens","3.5611111111111113","9.517857142857142"
"CR-Greenbush","Cohasset","2.6944444444444446","12.604166666666666"
"CR-Greenbush","East Weymouth","4.45","21.9375"
"CR-Greenbush","JFK/UMass","2.25","N/A"
"CR-Greenbush","Nantasket Junction","2.755555555555556","8.041666666666666"
"CR-Greenbush","North Scituate","2.4944444444444445","14.0625"
"CR-Greenbush","Quincy Center","3.6055555555555556","8.282051282051283"
"CR-Greenbush","South Station","0.41666666666666663","205.16666666666666"
"CR-Greenbush","West Hingham","2.0444444444444443","11.25"
"CR-Greenbush","Weymouth Landing/East Braintree","3.616666666666667","N/A"
"CR-Haverhill","Andover","5.75","13.649122807017545"
"CR-Haverhill","Ballardvale","3.011111111111111","6.068965517241379"
"CR-Haverhill","Bradford","1.261111111111111","6.767857142857143"
"CR-Haverhill","Greenwood","19.326666666666664","3.1884057971014492"
"CR-Haverhill","Lawrence","4.938888888888889","18.642857142857142"
"CR-Haverhill","Malden Center","32.656666666666666","3.2337662337662336"
"CR-Haverhill","Melrose Highlands","28.056666666666665","6.581081081081081"
"CR-Haverhill","Melrose/Cedar Park","10.353333333333333","N/A"
"CR-Haverhill","North Station","40.333333333333336","150.3181818181818"
"CR-Haverhill","North Wilmington","2.4222222222222225","2.8222222222222224"
"CR-Haverhill","Oak Grove","24.0375","N/A"
"CR-Haverhill","Reading","42.37777777777777","27.8"
"CR-Haverhill","Wakefield","27.64666666666667","12.881578947368421"
"CR-Haverhill","Wyoming Hill","19.123333333333335","2.8333333333333335"
"CR-Kingston","Abington","5.733333333333333","25.5"
"CR-Kingston","Braintree","5.3125","8"
"CR-Kingston","Halifax","2.7750000000000004","11.854166666666666"
"CR-Kingston","Hanson","2.7","15.916666666666666"
"CR-Kingston","JFK/UMass","3.391666666666667","N/A"
"CR-Kingston","Kingston","2.4166666666666665","49.5"
"CR-Kingston","Quincy Center","5.270833333333334","3.75"
"CR-Kingston","South Station","2.9333333333333336","218.08333333333334"
"CR-Kingston","South Weymouth","5.638888888888888","20.875"
"CR-Kingston","Whitman","5.372222222222223","16.229166666666668"
"CR-Lowell","Anderson/Woburn","4.496666666666667","N/A"
"CR-Lowell","Lowell","6.622222222222223","66.2127659574468"
"CR-Lowell","North Billerica","4.833333333333334","18.608695652173914"
"CR-Lowell","North Station","8.35","186.0566037735849"
"CR-Lowell","Wedgemere","7.291666666666666","6.273684210526316"
"CR-Lowell","West Medford","6.125","12.375"
"CR-Lowell","Wilmington","5.233333333333333","11.666666666666666"
"CR-Middleborough","Braintree","1.2666666666666666","3.9444444444444446"
"CR-Middleborough","Bridgewater","1.9500000000000002","24.0625"
"CR-Middleborough","Brockton","2.9583333333333335","18.625"
"CR-Middleborough","Campello","2.288888888888889","13.208333333333334"
"CR-Middleborough","Holbrook/Randolph","2.461111111111111","N/A"
"CR-Middleborough","JFK/UMass","3.6125","N/A"
"CR-Middleborough","Middleborough/Lakeville","0.4","N/A"
"CR-Middleborough","Montello","2.8291666666666666","15.541666666666666"
"CR-Middleborough","Quincy Center","3.479166666666667","18.11111111111111"
"CR-Middleborough","South Station","4.991666666666667","216.25"
"CR-Needham","Back Bay","1.3555555555555554","30.046875"
"CR-Needham","Bellevue","0.7277777777777779","10.137931034482758"
"CR-Needham","Forest Hills","1.6833333333333331","3.9833333333333334"
"CR-Needham","Hersey","1.1833333333333333","17.333333333333332"
