"route","stop_name","average_min_delay","average_boarding_rate"
"CR-Fairmount","Blue Hill Avenue","24.632346491228066","N/A"
"CR-Fairmount","Fairmount","23.234819532908705","10.555555555555555"
"CR-Fairmount","Four Corners/Geneva","16.607900432900436","N/A"
"CR-Fairmount","Morton Street","21.06008771929825","5.15625"
"CR-Fairmount","Newmarket","27.78747203579417","1.9230769230769231"
"CR-Fairmount","Readville","28.219642857142855","11.689655172413794"
"CR-Fairmount","South Station","28.940845070422537","41.27272727272727"
"CR-Fairmount","Talbot Avenue","17.911328976034856","5.325"
"CR-Fairmount","Uphams Corner","17.16258278145696","3.2580645161290325"
"CR-Fitchburg","Ayer","6.413901345291479","9.333333333333334"
"CR-Fitchburg","Belmont","6.247472677595627","4.47457627118644"
"CR-Fitchburg","Brandeis/Roberts","7.053733333333329","13.142857142857142"
"CR-Fitchburg","Concord","6.99729907773386","11.469696969696969"
"CR-Fitchburg","Fitchburg","8.140551181102364","13.045454545454545"
"CR-Fitchburg","Kendal Green","7.082791327913278","3.5737704918032787"
"CR-Fitchburg","Lincoln","7.119533333333326","7.276923076923077"
"CR-Fitchburg","Littleton/Route 495","7.503993855606759","11.35483870967742"
"CR-Fitchburg","North Leominster","5.92892804698972","7.533333333333333"
"CR-Fitchburg","North Station","15.513157894736844","145.13888888888889"
"CR-Fitchburg","Porter","9.092935528120712","42.833333333333336"
"CR-Fitchburg","Shirley","5.941704035874439","5.366666666666666"
"CR-Fitchburg","South Acton","7.4756361323155165","25.074626865671643"
"CR-Fitchburg","Wachusett","8.65582010582011","9.428571428571429"
"CR-Fitchburg","Waltham","6.9359229747676","14.462686567164178"
"CR-Fitchburg","Waverley","6.5707994579945765","4.8"
"CR-Fitchburg","West Concord","7.173133333333335","10.846153846153847"
"CR-Foxboro","Foxboro","18.608333333333334","N/A"
"CR-Franklin","Back Bay","9.471146245059284","48.5735294117647"
"CR-Franklin","Blue Hill Avenue","4.253278688524589","N/A"
"CR-Franklin","Dedham Corporate Center","7.61040433925049","N/A"
"CR-Franklin","Endicott","8.166715830875123","8.327868852459016"
"CR-Franklin","Fairmount","4.489800995024876","N/A"
"CR-Franklin","Forest Hills","5.67896174863388","N/A"
"CR-Franklin","Forge Park/495","13.066666666666674","N/A"
