service_date,line,estimated_boardings,ObjectId
2020/06/22 04:00:00+00,Providence/Stoughton,447,1
2020/06/22 04:00:00+00,Newburyport/Rockport,697,2
2020/06/22 04:00:00+00,Framingham/Worcester,33,3
2020/06/22 04:00:00+00,Franklin/Foxboro,276,4
2020/06/22 04:00:00+00,Middleborough/Lakeville,601,5
2020/06/22 04:00:00+00,Lowell,421,6
2020/06/22 04:00:00+00,Haverhill,332,7
2020/06/22 04:00:00+00,Kingston,410,8
2020/06/22 04:00:00+00,Needham,55,9
2020/06/22 04:00:00+00,Fitchburg,486,10
2020/06/22 04:00:00+00,Greenbush,176,11
2020/06/22 04:00:00+00,Fairmount,157,12
2020/06/23 04:00:00+00,Providence/Stoughton,981,13
2020/06/23 04:00:00+00,Newburyport/Rockport,1137,14
2020/06/23 04:00:00+00,Framingham/Worcester,183,15
2020/06/23 04:00:00+00,Franklin/Foxboro,567,16
2020/06/23 04:00:00+00,Middleborough/Lakeville,752,17
2020/06/23 04:00:00+00,Lowell,607,18
2020/06/23 04:00:00+00,Haverhill,453,19
2020/06/23 04:00:00+00,Kingston,505,20
2020/06/23 04:00:00+00,Needham,85,21
2020/06/23 04:00:00+00,Fitchburg,546,22
2020/06/23 04:00:00+00,Greenbush,245,23
2020/06/23 04:00:00+00,Fairmount,168,24
2020/06/24 04:00:00+00,Providence/Stoughton,1311,25
2020/06/24 04:00:00+00,Newburyport/Rockport,1050,26
2020/06/24 04:00:00+00,Framingham/Worcester,183,27
2020/06/24 04:00:00+00,Franklin/Foxboro,577,28
2020/06/24 04:00:00+00,Middleborough/Lakeville,771.5,29
2020/06/24 04:00:00+00,Lowell,600,30
2020/06/24 04:00:00+00,Haverhill,455,31
2020/06/24 04:00:00+00,Kingston,432.5,32
2020/06/24 04:00:00+00,Needham,204,33
2020/06/24 04:00:00+00,Fitchburg,508,34
2020/06/24 04:00:00+00,Greenbush,245,35
2020/06/24 04:00:00+00,Fairmount,221,36
2020/06/25 04:00:00+00,Providence/Stoughton,1283,37
2020/06/25 04:00:00+00,Newburyport/Rockport,1223,38
2020/06/25 04:00:00+00,Framingham/Worcester,183,39
2020/06/25 04:00:00+00,Franklin/Foxboro,590,40
2020/06/25 04:00:00+00,Middleborough/Lakeville,787,41
2020/06/25 04:00:00+00,Lowell,658,42
2020/06/25 04:00:00+00,Haverhill,585,43
2020/06/25 04:00:00+00,Kingston,496,44
2020/06/25 04:00:00+00,Needham,257,45
2020/06/25 04:00:00+00,Fitchburg,531,46
2020/06/25 04:00:00+00,Greenbush,254,47
2020/06/25 04:00:00+00,Fairmount,234,48
2020/06/26 04:00:00+00,Providence/Stoughton,1239,49
2020/06/26 04:00:00+00,Newburyport/Rockport,1149.5,50
2020/07/28 04:00:00+00,Providence/Stoughton,2844,51
2020/07/28 04:00:00+00,Newburyport/Rockport,1523.5,52
2020/07/28 04:00:00+00,Framingham/Worcester,1508.5,53
2020/07/28 04:00:00+00,Franklin/Foxboro,1417,54
2020/07/28 04:00:00+00,Middleborough/Lakeville,1025,55
2020/07/28 04:00:00+00,Lowell,921,56
2020/07/28 04:00:00+00,Haverhill,656,57
2020/07/28 04:00:00+00,Kingston,702,58
2020/07/28 04:00:00+00,Needham,501,59
2020/07/28 04:00:00+00,Fitchburg,617.5,60
2020/07/28 04:00:00+00,Greenbush,295,61
2020/07/28 04:00:00+00,Fairmount,370.5,62
2020/07/29 04:00:00+00,Providence/Stoughton,2640.5,63
2020/07/29 04:00:00+00,Newburyport/Rockport,1560.5,64
2020/07/29 04:00:00+00,Framingham/Worcester,1470,65
2020/07/29 04:00:00+00,Franklin/Foxboro,1343,66
2020/07/29 04:00:00+00,Middleborough/Lakeville,994,67
2020/07/29 04:00:00+00,Lowell,926.5,68
2020/07/29 04:00:00+00,Haverhill,666,69
2020/07/29 04:00:00+00,Kingston,708,70
2020/07/29 04:00:00+00,Needham,551.5,71
2020/07/29 04:00:00+00,Fitchburg,597,72
2020/07/29 04:00:00+00,Greenbush,329,73
2020/07/29 04:00:00+00,Fairmount,380,74
2020/07/30 04:00:00+00,Providence/Stoughton,2650.5,75
2020/07/30 04:00:00+00,Newburyport/Rockport,1419,76
2020/07/30 04:00:00+00,Framingham/Worcester,1443,77
2020/07/30 04:00:00+00,Franklin/Foxboro,1434.5,78
2020/07/30 04:00:00+00,Middleborough/Lakeville,1068,79
2020/07/30 04:00:00+00,Lowell,878,80
2020/07/30 04:00:00+00,Haverhill,630,81
2020/07/30 04:00:00+00,Kingston,758.5,82
